carta_id,nro_carta,titulo,categoria,frecuencia_categoria,porcentaje_tokens,palabras_encontradas
"16_5318583_box1_f14_Letter from Diego José, Fifth Count of Montemar to unkown (12_13_1763)",16,"Letter from Diego José, Fifth Count of Montemar to unkown (12/13/1763)",religion,1,0.05104645227156713,cura
"16_5318583_box1_f14_Letter from Diego José, Fifth Count of Montemar to unkown (12_13_1763)",16,"Letter from Diego José, Fifth Count of Montemar to unkown (12/13/1763)",economia_patrimonio,8,0.40837161817253703,"intereses, mayorazgo, renta, utilidad, vinculo"
"16_5318583_box1_f14_Letter from Diego José, Fifth Count of Montemar to unkown (12_13_1763)",16,"Letter from Diego José, Fifth Count of Montemar to unkown (12/13/1763)",lugares_territorio,1,0.05104645227156713,lima
"16_5318583_box1_f14_Letter from Diego José, Fifth Count of Montemar to unkown (12_13_1763)",16,"Letter from Diego José, Fifth Count of Montemar to unkown (12/13/1763)",escritura_documentos,1,0.05104645227156713,informe
17_5318583_box1_f15_Letter from Marquis of Lara to Mathias de la Vega (12_29_1763),17,Letter from Marquis of Lara to Mathias de la Vega (12/29/1763),familia_parentesco,0,0.0,
17_5318583_box1_f15_Letter from Marquis of Lara to Mathias de la Vega (12_29_1763),17,Letter from Marquis of Lara to Mathias de la Vega (12/29/1763),administracion_cargos,0,0.0,
17_5318583_box1_f15_Letter from Marquis of Lara to Mathias de la Vega (12_29_1763),17,Letter from Marquis of Lara to Mathias de la Vega (12/29/1763),religion,0,0.0,
17_5318583_box1_f15_Letter from Marquis of Lara to Mathias de la Vega (12_29_1763),17,Letter from Marquis of Lara to Mathias de la Vega (12/29/1763),economia_patrimonio,0,0.0,
17_5318583_box1_f15_Letter from Marquis of Lara to Mathias de la Vega (12_29_1763),17,Letter from Marquis of Lara to Mathias de la Vega (12/29/1763),lugares_territorio,1,0.2857142857142857,lima
17_5318583_box1_f15_Letter from Marquis of Lara to Mathias de la Vega (12_29_1763),17,Letter from Marquis of Lara to Mathias de la Vega (12/29/1763),escritura_documentos,0,0.0,
"18_5318583_box1_f16_Letter from Diego José, Fifth Count of Montemar to Count of Castillejo",18,"Letter from Diego José, Fifth Count of Montemar to Count of Castillejo (7/24/1764)",familia_parentesco,11,1.2061403508771928,"abuela, amado, casa, hijo, hijos, prima, primo"
"18_5318583_box1_f16_Letter from Diego José, Fifth Count of Montemar to Count of Castillejo",18,"Letter from Diego José, Fifth Count of Montemar to Count of Castillejo (7/24/1764)",administracion_cargos,2,0.21929824561403508,"navios, oficios"
"18_5318583_box1_f16_Letter from Diego José, Fifth Count of Montemar to Count of Castillejo",18,"Letter from Diego José, Fifth Count of Montemar to Count of Castillejo (7/24/1764)",religion,0,0.0,
"18_5318583_box1_f16_Letter from Diego José, Fifth Count of Montemar to Count of Castillejo",18,"Letter from Diego José, Fifth Count of Montemar to Count of Castillejo (7/24/1764)",economia_patrimonio,1,0.10964912280701754,intereses
"18_5318583_box1_f16_Letter from Diego José, Fifth Count of Montemar to Count of Castillejo",18,"Letter from Diego José, Fifth Count of Montemar to Count of Castillejo (7/24/1764)",lugares_territorio,0,0.0,
"18_5318583_box1_f16_Letter from Diego José, Fifth Count of Montemar to Count of Castillejo",18,"Letter from Diego José, Fifth Count of Montemar to Count of Castillejo (7/24/1764)",escritura_documentos,1,0.10964912280701754,carta
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",familia_parentesco,6,0.4051316677920324,"amado, casa, familia, hijos"
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",administracion_cargos,0,0.0,
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",religion,0,0.0,
